公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
茂逊科技有限公司,modeush,2000人以上,D轮及以上,海淀区,python,5-10年,本科,20k-35k,"不打卡,免费餐饮,扁平管理,13薪"
京北方信息技术股份有限公司,京北方,2000人以上,D轮及以上,丰台区,Python,3-5年,本科,12k-20k,平台大，项目多
中科边缘智慧信息科技（苏州）有限公司,中科边缘智慧,50-150人,A轮,海淀区,python,1-3年,本科,16k-25k,五险一金、每年体检、节日福利、年终奖等
北京大河有渔网络科技有限公司,大河有渔,15-50人,天使轮,海淀区,Python开发工程师,1-3年,本科,10k-15k,有良好行业发展前景、舒适的办公环境
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,python开发工程师,3-5年,本科,15k-30k,"知名大厂,技术氛围浓,技术大牛多,成长快"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,golang/python高级工程师,3-5年,本科,25k-45k,福利待遇好
北京轻宿科技发展有限公司,城宿,150-500人,A轮,朝阳区,Python资深开发工程师,3-5年,本科,25k-35k,"五险一金,带薪年假,年终奖金,旅游基金"
北京律金汇科技有限公司,律金汇科技,50-150人,不需要融资,海淀区,Python高级开发工程师,3-5年,本科,15k-20k,"岗位晋升,下午茶,偏平管理,地铁周边"
中电信用服务有限公司,中电信用,50-150人,未融资,海淀区,Python工程师,5-10年,本科,15k-25k,"五险一金,带薪年假,餐补车补,定期体检"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python工程师,3-5年,本科,25k-50k,"硅谷氛围,高手如云,零食水果,六险一金"
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-25k,平台好，发展空间大
北京七彩焕腾科技有限公司,七彩焕腾,150-500人,B轮,朝阳区,高级python开发工程师,5-10年,本科,25k-35k,bat
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性"
北京快松果科技有限公司,松果出行,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,30k-45k,"大牛多,快速发展期,业务好,17薪"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,Python,3-5年,本科,25k-30k,"核心项目,中间件团队,底层方向,等你来挑战"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,"硅谷氛围,高手如云,零食水果"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师—CI/CD方向,3-5年,本科,15k-30k,"发展空间大,五险一金,带薪年假,创业公司"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python开发工程师,3-5年,本科,10k-18k,"一日三餐,六险一金,14薪,定期团建"
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,python高级工程师/开发专家,3-5年,本科,25k-50k,发展空间大
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,3-5年,本科,15k-25k,"五险一金,绩效奖金,免费早餐,交补餐补"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发,1-3年,本科,20k-40k,"三餐,健身房,mac"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-50k,大牛多
厦门美柚信息科技有限公司,美柚,500-2000人,D轮及以上,朝阳区,资深python开发工程师,5-10年,本科,20k-40k,"福利好,发展快"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python开发工程师-变现业务,1-3年,本科,25k-40k,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资
北京一览科技有限公司,一览科技,150-500人,B轮,朝阳区,python开发工程师,3-5年,本科,20k-40k,福利优厚
北京完美创意科技有限公司,更美APP,150-500人,D轮及以上,朝阳区,高级Python开发工程师,3-5年,本科,25k-45k,"弹性工时,出国游,扁平化团队,带薪年假"
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,高级python开发工程师,3-5年,本科,15k-30k,"大牛带队,注重成长,季度奖金,免费午餐"
北京七彩焕腾科技有限公司,七彩焕腾,150-500人,B轮,朝阳区,架构师（Python）,5-10年,本科,30k-40k,bat
中金中富（北京）文化传媒有限公司,中金中富,150-500人,A轮,朝阳区,Python工程师(新闻类),3-5年,大专,20k-30k,"年底双薪,项目奖金,周末双休,包吃"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python开发工程师-赴微软亚洲研究院,1-3年,本科,10k-15k,"六险一金,带薪年假,微软办公,弹性工作"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,高级Python开发工程师—CI/CD方向,3-5年,本科,20k-40k,"五险一金,创业公司,发展空间大,补充医疗"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,资深Python开发,5-10年,本科,30k-45k,"三餐,健身房,mac"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级python工程师,3-5年,本科,30k-60k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级开发工程师,3-5年,本科,20k-30k,一日三餐、带薪年假、弹性工作、六险一金
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,5-10年,硕士,25k-40k,"五险一金,交通补,免费早餐,定期体检"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python开发（赴百度）,不限,本科,10k-14k,"大平台,六险一金,带薪年假,弹性上班制"
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,3-5年,本科,12k-18k,"五险一金,绩效奖金,餐补"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python高级工程师,5-10年,本科,25k-30k,"团队氛围好,高速发展,福利多多"
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,朝阳区,Python研发工程师,3-5年,本科,35k-55k,"硕士最好,不加班,18薪,有期权"
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,朝阳区,Python研发工程师,3-5年,大专,18k-30k,"弹性工作,百万医疗,10天年假,高速增长"
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,海淀区,Python后端开发,1-3年,本科,10k-18k,提供住宿、五险一金、晋升空间
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,Python工程师,3-5年,大专,15k-30k,"机会多多,K12,平台好"
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,Python助教,1-3年,本科,6k-8k,"空间无限大,领导好,团队优秀,团队氛围好"
紫梧桐（北京）资产管理有限公司,蛋壳公寓,2000人以上,B轮,东城区,Python开发工程师,5-10年,本科,20k-40k,技术大牛团
北京果壳互动科技传媒有限公司,果壳网,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,20k-40k,"八险一金,免费三餐,不加班,弹性工作"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师—监控方向,3-5年,本科,15k-30k,"五险一金,创业公司,补充医疗,带薪年假"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 3 开发 (MJ000552),1-3年,本科,20k-35k,"三餐,健身房,mac"
遨游酒店信息技术(深圳)有限责任公司,遨游酒店信息技术(深圳)有限责任公司,500-2000人,不需要融资,朝阳区,高级Python研发工程师,3-5年,本科,15k-30k,"弹性上下班,高速发展,高速成长"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,校招-Python/Golang研发工程师,不限,本科,10k-15k,"六险一金,技能培训,节日福利,免费三餐"
北京深极智能科技有限公司,深极智能,少于15人,天使轮,海淀区,python开发（可转强化学习研究员）,不限,本科,15k-30k,"上升空间大,项目创新,团队气氛佳"
北京棕榈创想科技有限公司,PALMAX,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,"14薪,技术新,大牛多,年度体检"
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,高级python工程师,5-10年,大专,20k-30k,"机会多多,平台好,领导好"
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,python,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
北京粉笔蓝天科技有限公司,粉笔网,150-500人,不需要融资,朝阳区,Python开发工程师,1-3年,本科,25k-40k,"技术大牛多,福利待遇好"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级python研发工程师,1-3年,本科,20k-40k,"六险一金,高薪期权,弹性工作,租房补贴"
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,朝阳区,Linux C++/Python中高级研发工程师,5-10年,本科,25k-35k,"弹性工作,六险一金,百万医疗,B+轮融资"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python后端工程师,3-5年,本科,25k-50k,大牛多
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python开发,不限,本科,10k-13k,"大公司,六险一金,人工智能,班车食堂"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,朝阳区,python开发,3-5年,本科,10k-18k,"七险一金,带薪年假,弹性工作,职位晋升"
北京乐信圣文科技有限责任公司,乐信圣文,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,10k-20k,"年终奖,免费工作餐,五险一金,高端医疗"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,高级Python开发工程师—监控方向,3-5年,本科,20k-40k,"创业公司,补充医疗,五险一金,带薪休假"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python平台开发工程师,不限,本科,22k-35k,"三餐,健身房,mac"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python开发工程师,1-3年,本科,20k-40k,六险一金，高薪期权，弹性工作，免费三餐
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python工程师,1-3年,本科,20k-40k,"技术驱动,极客氛围,大牛团队"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,Python开发工程师,3-5年,本科,25k-50k,"扁平管理,六险二金,免费三餐,弹性工作"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python工程师,3-5年,本科,20k-40k,"七险一金,核心项目,高新企业,大牛同事"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,Python研发工程师,1-3年,本科,15k-25k,"六险一金,节日福利,带薪休假,餐补"
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,python讲师,3-5年,大专,15k-30k,行业翘楚、团队优秀、待遇open
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,python开发工程师,1-3年,本科,10k-20k,"大牛带队,注重成长,季度奖金,免费午餐"
锐波（北京）科技有限公司,波场TRON,150-500人,不需要融资,海淀区,高级 Python 工程师,3-5年,本科,20k-40k,"区块链技术,国际化团队,技术大牛,发展前景好"
北京首都在线科技股份有限公司,CDS,150-500人,上市公司,海淀区,python研发工程师,5-10年,本科,15k-30k,"薪酬福利好,云计算公司"
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,Python开发工程师,3-5年,本科,18k-36k,"初创公司,技术驱动"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python研发工程师,1-3年,本科,20k-25k,"扁平化管理,免费中午餐,下午茶零食,六险一金"
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级开发工程师（技术）,3-5年,本科,25k-50k,"独角兽,待遇好"
联想（北京）有限公司,联想集团,2000人以上,上市公司,海淀区,Python 开发,1-3年,本科,10k-15k,稳定
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,不限,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划"
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,Python开发工程师,1-3年,本科,10k-20k,"七险一金,14薪,提供三餐,晋升空间"
京东金融,京东金融,2000人以上,上市公司,大兴区,高级Python开发工程师,5-10年,本科,20k-40k,"班车,餐补"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级python开发工程师,3-5年,本科,20k-30k,"上市公司,技术领先,福利待遇好"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python工程师-赴微软小冰,1-3年,本科,8k-10k,"六险一金,带薪年假,节日福利,弹性工作"
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,海淀区,Python高级开发工程师,3-5年,本科,18k-36k,"团队技术强,发展空间大,人工智能"
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,python工程师,3-5年,本科,17k-34k,"地铁周边,零食水果,福利优厚,五险一金"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,python高级后端工程师,5-10年,本科,25k-50k,核心团队
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,Python高级研发工程师(技术),不限,不限,15k-30k,"绩效奖金,带薪年假"
深圳市麦达数字股份有限公司,麦达数字,500-2000人,上市公司,朝阳区,PYTHON研发工程师,3-5年,本科,25k-35k,"上市公司,五险一金,薪酬福利好,发展空间大"
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,海淀区,算法开发工程师（Python）,1-3年,本科,20k-40k,"AI独角兽,公司前景好"
北京中公教育科技股份有限公司,中公教育,2000人以上,未融资,海淀区,Python讲师,3-5年,本科,20k-30k,"五险一金,补助"
北京右划网络科技有限公司,右划,50-150人,A轮,朝阳区,高级python开发工程师,3-5年,本科,30k-60k,"短视频,大牛云集,工程师文化,一年15薪"
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,Python工程师,3-5年,本科,18k-35k,"6险一金,弹性工作,团队好,氛围轻松"
北京智水互娱科技有限公司,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,1-3年,大专,20k-40k,"海外,高薪"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,,家长帮-Python/Django web开发工程师,3-5年,本科,20k-35k,上市公司，六险一金，住房无息，福利待遇好
北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,25k-50k,"大咖云集,技术氛围好"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发工程师,3-5年,本科,15k-30k,薪资优厚、氛围宽松、每日三餐、六险一金
企鹅创新（北京）科技有限公司,企鹅创新,50-150人,天使轮,朝阳区,Python工程师,3-5年,本科,15k-25k,"五险一金,带薪年假,午餐报销"
北京曜辉信息科技有限公司,曜辉科技,15-50人,未融资,朝阳区,Python工程师-机器学习方向,1-3年,本科,20k-35k,"高成长,机会大,全额险金,有零食"
北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,Python开发工程师,3-5年,本科,10k-20k,"周末双休,法定节假日,六险一金,年底双薪"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python后端工程师,3-5年,本科,25k-50k,大牛多
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python工程师,3-5年,大专,16k-20k,九险一金
北京修齐治平科技有限公司,爱云校,500-2000人,C轮,朝阳区,基础架构师-golang/C++/python,3-5年,本科,20k-40k,"六险一金,午餐补助,提供晚餐,每日下午茶"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,Python高级研发工程师-度假事业部(J11528),3-5年,本科,20k-40k,团队氛围融洽，帅哥美女多，年假多，年终奖
安一恒通（北京）科技有限公司,度小满金融,500-2000人,A轮,海淀区,Python工程师,1-3年,本科,15k-30k,"技术过硬,经验丰富"
北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,18k-35k,"住房补贴,优厚待遇,福利多,专属班车"
奇虎360科技有限公司,360,2000人以上,上市公司,朝阳区,python,3-5年,本科,30k-55k,发展平台 免费三餐 福利待遇
北京智分科技有限公司,NewsJet,50-150人,不需要融资,海淀区,高级Python开发工程师,3-5年,本科,25k-45k,"Geek范,清华系,福利待遇好,股票期权"
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,朝阳区,Python研发工程师,5-10年,本科,20k-40k,"技术大咖,公司氛围好,项目奖金"
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,Python开发工程师,3-5年,不限,20k-40k,"优秀团队,优秀项目"
北京创智优品科技有限公司,Zenjoy,150-500人,不需要融资,东城区,Python后台开发工程师,3-5年,本科,15k-30k,"六险一金,年底双薪,出国旅行,包午晚餐"
北京雷石世纪科技有限公司,北京雷石公司,150-500人,A轮,朝阳区,Python工程师,1-3年,大专,10k-20k,"补充医疗险,弹性工作制"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深python开发工程师,3-5年,本科,20k-30k,发挥空间 晋升空间 牛人多 团队优秀
爱赛因斯（北京）科技有限公司,PMCAFF产品经理社区,15-50人,A轮,朝阳区,Python工程师,3-5年,本科,15k-30k,项目好
北京深海巨鲸信息科技有限公司,鲸媒体,15-50人,A轮,海淀区,资深Python 工程师,不限,本科,22k-32k,"五险一金,员工福利,餐补,双休"
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,python开发工程师,5-10年,大专,20k-30k,"七险一金,绩效奖金"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,python开发工程师,3-5年,本科,14k-26k,带薪年假 五险一金
北京豆网科技有限公司,豆瓣网,150-500人,C轮,朝阳区,Python开发工程师,3-5年,本科,20k-35k,"六险一金,带薪年假,年度体检,早餐下午茶"
安一恒通（北京）科技有限公司,度小满金融,500-2000人,A轮,海淀区,python工程师,1-3年,本科,15k-30k,弹性工作制
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,python开发工程师,1-3年,本科,20k-40k,"6险一金,期权股票,团队氛围好,地铁周边"
北京下厨房科技有限公司,下厨房,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,15k-25k,"带薪年假多,免费午餐,弹性工作制,工作氛围佳"
北京来也网络科技有限公司,助理来也,50-150人,B轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"人工智能,弹性工作,扁平管理,技术牛人"
北京刷刷看网络科技有限公司,刷刷看,150-500人,A轮,朝阳区,Python工程师,1-3年,本科,15k-30k,"地铁周边,移动社交,牛人大咖多,新兴行业"
北京启明合心科技有限公司,合心科技,50-150人,A轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐"
国美金控投资有限公司,国美金控,2000人以上,未融资,朝阳区,python研发工程师,5-10年,本科,30k-40k,"大平台,新项目,领导卓越"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,服务端高级开发工程师Golang/Python,3-5年,本科,35k-45k,"优厚待遇,技术导向"
北京爱选信息科技有限公司,爱选科技,少于15人,天使轮,朝阳区,Python开发工程师,3-5年,本科,15k-25k,"金融科技类,公司氛围好"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1年以下,硕士,15k-30k,"飞速发展,技术氛围浓,大牛担任导"
北京格上添富科技发展有限公司,格上添富,150-500人,不需要融资,朝阳区,Python研发工程师,3-5年,本科,13k-25k,弹性工作，扁平化管理，零食水果
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python架构师,5-10年,本科,35k-60k,"硅谷范办公,六险一金,水果零食,团队氛围佳"
北京中科物安科技有限公司,中科物安,15-50人,未融资,海淀区,python开发工程师,3-5年,本科,15k-25k,"发展空间大,五险一金,餐补,带薪年假"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,Python架构师,5-10年,本科,20k-40k,"免费三餐,免费班车,下午茶,良好办公环"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 开发工程师,1-3年,本科,18k-36k,健康三餐 免费健身游泳 大牛团队
上海诚信互通网络信息科技有限公司,诚信互通,150-500人,A轮,海淀区,Python研发工程师,3-5年,大专,15k-30k,五险一金
北京源清慧虹信息科技有限公司,源清慧虹,50-150人,B轮,海淀区,高级python研发工程师,3-5年,本科,20k-30k,"二次医疗,健身场所,福利补助"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,python工程师,不限,本科,30k-45k,"大牛同事,机器学习,六险一金,丰厚年终奖"
赤子城网络技术（北京）有限公司,赤子城,150-500人,D轮及以上,朝阳区,python开发工程师,3-5年,本科,10k-20k,"七险一金,绩效奖金,发展空间,团队氛围"
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,海淀区,Python开发,3-5年,大专,9k-18k,"周末双休,团建活动"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,Python工程师,不限,本科,18k-35k,"大公司,大平台,机会多,六险一金"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1-3年,本科,15k-30k,"飞速发展,发展快,海量数据"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,18k-35k,"全额保险,自助午餐,核心业务,大牛同事"
北京智能优学科技有限公司,熊猫加加,15-50人,未融资,朝阳区,Python高级开发工程师,3-5年,本科,25k-30k,"五险一金,技术大牛,团队出游,部门聚餐"
北京源石智影科技有限公司,智影,50-150人,不需要融资,朝阳区,python开发工程师,1-3年,本科,15k-20k,"朝阳行业,平台广阔,技术大牛,福利丰厚"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python架构师,5-10年,本科,30k-60k,带薪年假、五险一金、一日三餐、定期体检
北京小度互娱科技有限公司,百度视频,150-500人,B轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,"团队优秀,福利优厚"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,Python,3-5年,本科,40k-60k,"免费中晚餐,下午茶,六险一金,扁平化管理"
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,Python开发工程师,1-3年,本科,20k-40k,"六险一金,超多假期"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,python开发工程师,5-10年,本科,20k-40k,"五险一金,补充医疗,带薪年假,上市公司"
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,python工程师(J11548),3-5年,本科,25k-40k,五险一金
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,Python/Django web开发工程师,3-5年,本科,20k-35k,"福利好,扁平化"
互影科技（北京）有限公司,互影科技,15-50人,不需要融资,朝阳区,Python开发工程师,5-10年,本科,15k-20k,"顶尖风投,快速爆发期,成长氛围好,年底双薪"
北京众安天下科技有限公司,众安天下 allsec,15-50人,天使轮,海淀区,Python开发工程师,3-5年,本科,20k-30k,"五险一金,带薪年假,免费体检,零食管饱"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-28k,"弹性工作制,扁平化管理,绩效奖金,美国上市"
无锡信成网络科技有限公司,黑牛保,15-50人,A轮,大兴区,python开发工程师,5-10年,本科,15k-20k,"五险一金,周末双休,节日福利,员工旅游"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1年以下,硕士,15k-30k,"飞速发展,技术氛围浓,待遇好,发展快"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python工程师,不限,本科,15k-25k,"免费中晚餐,下午茶,六险一金,扁平化管理"
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,Python开发工程师(J11761),1-3年,本科,10k-15k,机会众多
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,python开发,应届毕业生,本科,10k-20k,"六险一金,免费午餐,极客氛围,薪资高"
北京仁信智清科技有限公司,智清金科,15-50人,A轮,海淀区,Python,不限,本科,20k-35k,"领导好,大牛云集,薪资待遇,职业发展"
北京库神信息技术有限公司,库神,50-150人,A轮,海淀区,Python研发工程师,1-3年,本科,20k-40k,"发展潜力大,补充医疗,新技术,团队氛围好"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,3-5年,本科,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大"
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,高级python开发工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励
云孚科技（北京）有限公司,云孚科技,15-50人,不需要融资,海淀区,Python研发工程师,不限,本科,6k-12k,"大牛直接带,顶级挑战,高速成长"
北京金风科创风电设备有限公司,金风科技,2000人以上,上市公司,大兴区,Python 开发工程师,3-5年,本科,18k-35k,"五险一金,节日福利,餐补,带薪年假"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级数据工程师,3-5年,本科,20k-30k,"五险一金,一日三餐,带薪年假,定期体检"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级Python研发工程师（DevOps经验优先）,3-5年,本科,15k-25k,"上市公司,大数据企业,年终奖金,带薪年假"
北京聚齐众兴网络科技有限公司,北京聚齐,15-50人,A轮,大兴区,高级Python工程师,5-10年,本科,15k-20k,"五险一金,周末双休,节日福利,员工旅游"
溪流科技（北京）有限公司,溪流科技,15-50人,未融资,朝阳区,Python开发工程师,3-5年,本科,12k-24k,"成长空间大,团队文化好,六险一金,周末双休"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,1-3年,本科,18k-35k,"全五险一金,牛人多,发展快,福利好"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python工程师,不限,本科,20k-35k,"免费中晚餐,下午茶,六险一金,扁平化管理"
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,python开发,应届毕业生,本科,10k-20k,"六险一金,免费午餐,不打卡,纯技术团队"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（中高级）,3-5年,本科,15k-25k,"管理扁平化,发展机会佳,薪资待遇好"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发,应届毕业生,本科,10k-15k,"七险一金,扁平管理,技术氛围浓,业务发展快"
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,Python开发工程师,1-3年,本科,20k-35k,"六险一金,绩效奖金,发展空间大,股票期权"
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级开发工程师（技术）,3-5年,本科,25k-50k,"独角兽,待遇好,工作环境好"
北京雷石世纪科技有限公司,北京雷石公司,150-500人,A轮,朝阳区,Python工程师,3-5年,本科,15k-30k,"五险一金,带薪年假,领导赞,补充医疗"
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,初级Python开发工程师,3-5年,本科,10k-15k,"五险一金,全勤奖,餐补,年终奖金"
小叶子（北京）科技有限公司,The ONE,150-500人,C轮,朝阳区,Python开发工程师,3-5年,本科,20k-30k,"五险一金,交通补助,午晚餐"
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,python后台工程师,3-5年,本科,20k-40k,"弹性工作,六险一金,学习氛围,绩效奖金"
北京八维研修学院,北京八维研修学院,2000人以上,未融资,海淀区,Python教学研发经理,3-5年,大专,18k-35k,"五险一金,带薪年假"
